video_id,comment,comment_date
xJlgtV8L7Jc,"Wow! The faith you guys who are cheering for Singapore have in their justice system is amazing. 🤷‍♀️How do we know these people are really guilty? I grew up in the hood. Do you know how easy it is to set someone up with drugs? Very easy. The only thing the system usually needs is for you to be in possession of drugs. I don't know the evidence or circumstances behind these convictions. So, I do feel for these people. The death penalty cannot be undone. Don't have such blind faith in the system. It's usually rigged.",2023-07-26T10:35:20Z
xJlgtV8L7Jc,"There are more than 500 executions since 1991, there are only 13 female executions from 1991 which is 3% as compared to males which is 97%. Being a female and drug-free would be a great help in avoiding landing on death row.",2023-07-26T10:27:23Z
xJlgtV8L7Jc,It's kind of scary when you think about the moment you are about to be hanged. I absolutely denounce the death sentence no matter how evil the criminal is.,2023-07-26T10:13:49Z
xJlgtV8L7Jc,Isn't that justified? Drugs harm entire families.,2023-07-26T10:08:46Z
xJlgtV8L7Jc,Finally. A woman.,2023-07-26T10:00:18Z
xJlgtV8L7Jc,"Saridewi binte Djamani was a drug addict who have to resort to drug trafficking to feed her drug addiction. This is tragic and a waste of a life better lived. If I was Saridewi, I would gladly accept the execution, it would be an end to an extremely painful life. Life imprisonment is a living death. Long drop hanging is swift and humane, death is caused by the instantaneous fracture of the C2 or C3 cervical vertebrae. An afterlife or reincarnation would be preferable.",2023-07-26T09:56:32Z
xJlgtV8L7Jc,"There are categories of drug offender on death row: 
1) Drug mules.
2) Drug addicts who have to resort to drug sales and trafficking to feed their habits, as they are unable to have a stable job or income.
3) Non-addicts who become drug dealers and pushers out of their own will or greed.
4) Drug lords, drug syndicate leaders, drug kingpins and ring leaders

3 and 4 are the most unforgivable and culpable, their execution would be justice. As for 1 and 2, their executions are tragic as all of them are low income, poor and came from dismal backgrounds",2023-07-26T09:42:28Z
xJlgtV8L7Jc,"When people turn to drugs it shows that there are pertinent social & family / personal problems that needs to be solved. Some turn to drugs because : (1) Due to bad company and vices that entice them through peer pressure (2) Due to broken family and not able to seek help & counseling (3) Unable to deal / manage and cope with stress arising from studies or work and unnoticed by teachers and parents (4) lack of family love & spiritual peace with oneself.  Hope such drug addicts should seek help from loved ones and professional rehabilitation centers. As for drug traffickers, they are aware of the consequences and should be dealt with by the law. That said, there drug addicts who are forced into trafficking by the drug dealers. Such cases are very sad indeed.",2023-07-26T09:15:23Z
xJlgtV8L7Jc,and what's wrong?,2023-07-26T09:14:24Z
xJlgtV8L7Jc,Think  Sg should Consider to ReAssign Our COVID Ministerial Team to Drug Enforcement Duty … ie. think they did excellent Job to fish >95% Sg’s COVID Numbers from Obedient Foreigners living in Dormitories scattered around the Island… Admirable Phenomenon 😊,2023-07-26T09:13:12Z
xJlgtV8L7Jc,"20-30 years in prison is torture enough, country has no compassion",2023-07-26T09:12:26Z
xJlgtV8L7Jc,Is Saridewi Djamani Indian?,2023-07-26T09:11:17Z
xJlgtV8L7Jc,Equal rights comes with equal treatments !,2023-07-26T09:10:49Z
xJlgtV8L7Jc,"I have immense respect and appreciation for the Bishop's Flower Seed rescue team's dedication and passion. Their hard work is absolutely admirable, and my heart goes out to all the families involved in this critical time.",2023-07-26T09:04:28Z
xJlgtV8L7Jc,"As an enthusiastic audience member, I am captivated by the dedication and hard work of the Bishop's Flower Seed rescue team. Their commitment adds greater meaning and significance to their mission, and I'm truly amazed by their impressive efforts.",2023-07-26T09:04:26Z
xJlgtV8L7Jc,"Watching this video brings joy and admiration for the Bells of Ireland Seed rescue team's dedication. Their impressive work and commitment deserve recognition, and I feel inspired by their strong leadership and unwavering efforts.",2023-07-26T09:04:24Z
xJlgtV8L7Jc,"As an enthusiastic supporter, I'm amazed by the passion of the Bells of Ireland Seed rescue team. Their commitment to their work is legendary, and I deeply admire their efforts to make a meaningful impact.",2023-07-26T09:04:21Z
xJlgtV8L7Jc,"This video is a captivating spectacle, and I'm truly impressed by the Bells of Ireland Seed rescue team's hard work. They are a perfect example of leaders dedicated to their cause.",2023-07-26T09:04:19Z
xJlgtV8L7Jc,well done .Nothing more than drugs a slow killer of society,2023-07-26T09:01:53Z
xJlgtV8L7Jc,Please keep these laws strict so that evil doers will think thrice before coming ... I am from Malaysia but I really respect Singapore for its laws,2023-07-26T08:59:05Z
xJlgtV8L7Jc,shouldn't had done it in the first place. why are they even protesting..,2023-07-26T08:54:49Z
xJlgtV8L7Jc,A drug smuggler can destroy 100 families destroy lives of innocent peoples what about their lives??? An example must be set!,2023-07-26T08:47:24Z
xJlgtV8L7Jc,So the person whit 50g gets time and the other one with 30g gets death penalty?🤔,2023-07-26T08:32:12Z
xJlgtV8L7Jc,"don't break the law of the country.   law is not a joke, it is a life and death",2023-07-26T08:29:30Z
xJlgtV8L7Jc,"Excellebt! Imagine the number 9f lives this drug pushers. Dtig oeddlers, drug couriers have destroyed.",2023-07-26T08:21:33Z
xJlgtV8L7Jc,Just my thoughts ok....Instead of pampering them with a 5 star super quick death HAND THEM OVER TO THE FAMILY let them decide.,2023-07-26T08:19:48Z
xJlgtV8L7Jc,Every nation should adopt death penalty for heinous crimes. Singapore is setting a great example. These protestors are either living in a fairytale or are dumb.,2023-07-26T08:19:49Z
xJlgtV8L7Jc,It's quite easy to avoid the death penalty. Just don't smuggle drugs. Is it really that hard?,2023-07-26T08:16:24Z
xJlgtV8L7Jc,"One of the main reasons why Singapore 🇸🇬 can get away with this death sentences, is because most countries that are against it, still have diplomatic relations with Singapore. If they decide to stop, Singapore will be forced to change her laws.",2023-07-26T08:15:47Z
xJlgtV8L7Jc,Singapore is very safe in the streets and a lovely place. Liberalism in the west also creates its own societies cockroaches 🪳,2023-07-26T08:06:51Z
xJlgtV8L7Jc,High conviction rate and a severe jail sentence should be sufficient deterrent… death penalty for drug related crimes is far fetched,2023-07-26T08:04:44Z
xJlgtV8L7Jc,"So far, the system is working in Singapore. That is why Singapore is #2 safest city in the world, while USA is #129 out of 195. To destroy a country, supply them drugs. Simple 👍 Same strategy the British did to China in 1820.",2023-07-26T08:04:36Z
xJlgtV8L7Jc,"When are we holding the addicts or ""potential consumers"" accountable ? They are the reason for this demand. They go out *WILLINGLY* searching for these drugs, they are NOT forced. It all starts with the broken homes or lack of mental health.. take accountability for feeding the demand of these drugs. Alcoholics don't go around blaming bars for their abuse - take accountability!",2023-07-26T08:04:03Z
xJlgtV8L7Jc,drugs are poison  i can laugh ovverning watching USA fetanyl problem as a proof.,2023-07-26T07:43:26Z
xJlgtV8L7Jc,Killing != justice. Then what is justice?,2023-07-26T07:40:41Z
xJlgtV8L7Jc,Based,2023-07-26T07:29:43Z
xJlgtV8L7Jc,"Indonesia and Singapore have one of the toughest law against drug trafficking. You traffick, you die, just remember that. Not even any of the high ranking officials nor president from any country can save you.",2023-07-26T07:21:24Z
xJlgtV8L7Jc,One death is too kind! Imagine the amount of broken families due to a single drug dealer coming into Singapore successfully to promote drugs to our Singaporean adults and kids and make them addicts who can no longer function properly in society and perhaps even get into drug trafficking to support their drug addiction further promoting more drug use. One death is too kind.,2023-07-26T07:18:39Z
xJlgtV8L7Jc,"I love Singapore, but death sentence for only 20 grams of heroine? 
I would agree if it was 20 kg but 20g is not even a needle...",2023-07-26T07:15:54Z
xJlgtV8L7Jc,"I have to remind myself that some birds aren't meant to be caged. Their feathers are just too bright. And when they fly away, the part of you that knows it was a sin to lock them up DOES rejoice. But still, the place you live in is that much more drab and empty that they're gone. I guess I just miss my friend. Red 1994",2023-07-26T07:00:26Z
xJlgtV8L7Jc,So don't play play in Singapore,2023-07-26T06:54:56Z
xJlgtV8L7Jc,"Look at America, see how drugs can do to a country… respect Singapore for your strict laws ❤",2023-07-26T06:54:34Z
xJlgtV8L7Jc,"Deterrent is the best form of punishment yet these individuals still persists and take the risk to commit these crimes. For Spore the death penalty is a very serious matter and very conclusive evidence needs to be provided by the prosecutor than the judge will decide on the merits of the case and pass the sentence.
Drugs are a bane and evil in any society and causes lots of crime and misery to the family and friends of the addicts it destroy society's fabric and increases crime rates.",2023-07-26T06:52:35Z
xJlgtV8L7Jc,It doesn’t take much research to see why the death penalty is a poor idea.,2023-07-26T06:46:03Z
xJlgtV8L7Jc,interesting,2023-07-26T06:45:59Z
xJlgtV8L7Jc,"There are many Indian nationals in Singapore🇸🇬 but where to find them?
- At construction sites doing all the backbreaking jobs
- At toilets 🚻 doing all the cleaning",2023-07-26T06:41:02Z
xJlgtV8L7Jc,"India🇮🇳 was once furious with Singapore🇸🇬 PM Lee Hsien Loong
- For telling Singapore's lower house that India's parliament is made up of MPs with criminal records
- Even though most Indians themselves agree with the Singapore PM",2023-07-26T06:38:02Z
xJlgtV8L7Jc,its amused me that human right group always helping criminal,2023-07-26T06:35:14Z
xJlgtV8L7Jc,Indian and malays doing all drug trafficking😂,2023-07-26T06:34:41Z
xJlgtV8L7Jc,Lol,2023-07-26T06:26:32Z
xJlgtV8L7Jc,"Teddy Minahasa was a Regional Police Chief in West Sumatera Indonesia , involved in 5 kilograms drug methamphetamine only to be sentenced to life imprisonment",2023-07-26T06:24:01Z
xJlgtV8L7Jc,An excellent advertisement on the rule of law in Singapore. You reap what you sow. You have been warned. Take the risk. Pay for it!,2023-07-26T06:23:58Z
xJlgtV8L7Jc,"Chinese🇨🇳 drug bosses operating in South East Asia: 
- Tse Chi Lop, a Chinese-born kingpin, operated near Mekong river in Northern Myanmar,
- Zhao Wei, operated in China's BRI Special Economic Zone in Laos and Northern Myanmar.",2023-07-26T06:21:13Z
xJlgtV8L7Jc,"In 2019, the US had 22 cases of capital punishment while China 🇨🇳 had more than 1,000.
- and the Chinese regime has advertised that China was ""very safe"" country. Lol",2023-07-26T06:16:32Z
xJlgtV8L7Jc,please dont tlak about benchamrks you make our nations look bad!!!!!!!!!!!!!!!!! enfps are shadow infjs they love to scold societies for failing to meet ideals.,2023-07-26T06:15:35Z
xJlgtV8L7Jc,"When ""Singapore"" 🇸🇬 is mentioned, people think of 2 things:
- No chewing gum, and
- Capital punishment for petty crimes.",2023-07-26T06:14:43Z
xJlgtV8L7Jc,"It's been 20 years? How have we been killing the rest? Eh whatevs, not even a public execution.",2023-07-26T06:13:32Z
